Municipio,TERRITORIO_CODE,Anio,TIME_PERIOD_CODE,Medida,MEDIDAS_CODE,OBS_VALUE,ESTADO_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#es,CPRO,CISLA,ISLA,CMUN,DC,NOMBRE
Barlovento,38007,2017,2017,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.0,,,38.0,383.0,"Palma, La ",7.0,0.0,Barlovento
Barlovento,38007,2018,2018,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.1,,,38.0,383.0,"Palma, La ",7.0,0.0,Barlovento
Barlovento,38007,2019,2019,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.1,,,38.0,383.0,"Palma, La ",7.0,0.0,Barlovento
Barlovento,38007,2020,2020,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,5.7,,,38.0,383.0,"Palma, La ",7.0,0.0,Barlovento
Barlovento,38007,2021,2021,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,4.2,,,38.0,383.0,"Palma, La ",7.0,0.0,Barlovento
Barlovento,38007,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.5,,,38.0,383.0,"Palma, La ",7.0,0.0,Barlovento
Barlovento,38007,2023,2023,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.5,,,38.0,383.0,"Palma, La ",7.0,0.0,Barlovento
Breña Alta,38008,2015,2015,Sueldos y salarios,SUELDOS_SALARIOS,64.2,,,38.0,383.0,"Palma, La ",8.0,6.0,Breña Alta
Breña Alta,38008,2016,2016,Sueldos y salarios,SUELDOS_SALARIOS,64.5,,,38.0,383.0,"Palma, La ",8.0,6.0,Breña Alta
Breña Alta,38008,2017,2017,Sueldos y salarios,SUELDOS_SALARIOS,64.3,,,38.0,383.0,"Palma, La ",8.0,6.0,Breña Alta
Breña Alta,38008,2018,2018,Sueldos y salarios,SUELDOS_SALARIOS,64.7,,,38.0,383.0,"Palma, La ",8.0,6.0,Breña Alta
Breña Alta,38008,2019,2019,Sueldos y salarios,SUELDOS_SALARIOS,65.0,,,38.0,383.0,"Palma, La ",8.0,6.0,Breña Alta
Breña Alta,38008,2020,2020,Sueldos y salarios,SUELDOS_SALARIOS,60.9,,,38.0,383.0,"Palma, La ",8.0,6.0,Breña Alta
Breña Alta,38008,2021,2021,Sueldos y salarios,SUELDOS_SALARIOS,63.2,,,38.0,383.0,"Palma, La ",8.0,6.0,Breña Alta
Breña Alta,38008,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,64.6,,,38.0,383.0,"Palma, La ",8.0,6.0,Breña Alta
Breña Alta,38008,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,63.2,,,38.0,383.0,"Palma, La ",8.0,6.0,Breña Alta
Breña Alta,38008,2015,2015,Otros ingresos,OTROS_INGRESOS,11.1,,,38.0,383.0,"Palma, La ",8.0,6.0,Breña Alta
Breña Alta,38008,2016,2016,Otros ingresos,OTROS_INGRESOS,11.6,,,38.0,383.0,"Palma, La ",8.0,6.0,Breña Alta
