Municipio,TERRITORIO_CODE,Anio,TIME_PERIOD_CODE,Medida,MEDIDAS_CODE,OBS_VALUE,ESTADO_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#es,CPRO,CISLA,ISLA,CMUN,DC,NOMBRE
Canarias,ES70,2015,2015,Sueldos y salarios,SUELDOS_SALARIOS,62.2,,,,,,,,
Canarias,ES70,2016,2016,Sueldos y salarios,SUELDOS_SALARIOS,62.7,,,,,,,,
Canarias,ES70,2017,2017,Sueldos y salarios,SUELDOS_SALARIOS,62.7,,,,,,,,
Canarias,ES70,2018,2018,Sueldos y salarios,SUELDOS_SALARIOS,62.7,,,,,,,,
Canarias,ES70,2019,2019,Sueldos y salarios,SUELDOS_SALARIOS,62.5,,,,,,,,
Canarias,ES70,2020,2020,Sueldos y salarios,SUELDOS_SALARIOS,56.6,,,,,,,,
Canarias,ES70,2021,2021,Sueldos y salarios,SUELDOS_SALARIOS,58.3,,,,,,,,
Canarias,ES70,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,61.2,,,,,,,,
Canarias,ES70,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,61.4,,,,,,,,
Canarias,ES70,2015,2015,Otros ingresos,OTROS_INGRESOS,12.3,,,,,,,,
Canarias,ES70,2016,2016,Otros ingresos,OTROS_INGRESOS,12.5,,,,,,,,
Canarias,ES70,2017,2017,Otros ingresos,OTROS_INGRESOS,12.9,,,,,,,,
Canarias,ES70,2018,2018,Otros ingresos,OTROS_INGRESOS,13.3,,,,,,,,
Canarias,ES70,2019,2019,Otros ingresos,OTROS_INGRESOS,13.3,,,,,,,,
Canarias,ES70,2020,2020,Otros ingresos,OTROS_INGRESOS,11.4,,,,,,,,
Canarias,ES70,2021,2021,Otros ingresos,OTROS_INGRESOS,12.9,,,,,,,,
Canarias,ES70,2022,2022,Otros ingresos,OTROS_INGRESOS,13.7,,,,,,,,
Canarias,ES70,2023,2023,Otros ingresos,OTROS_INGRESOS,14.0,,,,,,,,
Canarias,ES70,2015,2015,Otras prestaciones,OTRAS_PRESTACIONES,3.3,,,,,,,,
Canarias,ES70,2016,2016,Otras prestaciones,OTRAS_PRESTACIONES,3.3,,,,,,,,
Canarias,ES70,2017,2017,Otras prestaciones,OTRAS_PRESTACIONES,3.6,,,,,,,,
Canarias,ES70,2018,2018,Otras prestaciones,OTRAS_PRESTACIONES,3.6,,,,,,,,
Canarias,ES70,2019,2019,Otras prestaciones,OTRAS_PRESTACIONES,3.7,,,,,,,,
Canarias,ES70,2020,2020,Otras prestaciones,OTRAS_PRESTACIONES,4.3,,,,,,,,
Canarias,ES70,2021,2021,Otras prestaciones,OTRAS_PRESTACIONES,4.6,,,,,,,,
Canarias,ES70,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,4.5,,,,,,,,
Canarias,ES70,2023,2023,Otras prestaciones,OTRAS_PRESTACIONES,4.5,,,,,,,,
Canarias,ES70,2015,2015,Pensiones,PENSIONES,18.5,,,,,,,,
Canarias,ES70,2016,2016,Pensiones,PENSIONES,18.2,,,,,,,,
Canarias,ES70,2017,2017,Pensiones,PENSIONES,17.8,,,,,,,,
Canarias,ES70,2018,2018,Pensiones,PENSIONES,17.5,,,,,,,,
Canarias,ES70,2019,2019,Pensiones,PENSIONES,17.6,,,,,,,,
Canarias,ES70,2020,2020,Pensiones,PENSIONES,19.0,,,,,,,,
Canarias,ES70,2021,2021,Pensiones,PENSIONES,18.4,,,,,,,,
Canarias,ES70,2022,2022,Pensiones,PENSIONES,18.1,,,,,,,,
Canarias,ES70,2023,2023,Pensiones,PENSIONES,17.8,,,,,,,,
Canarias,ES70,2015,2015,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.8,,,,,,,,
Canarias,ES70,2016,2016,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.4,,,,,,,,
Canarias,ES70,2017,2017,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.1,,,,,,,,
Canarias,ES70,2018,2018,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.9,,,,,,,,
Canarias,ES70,2019,2019,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.9,,,,,,,,
Canarias,ES70,2020,2020,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,8.7,,,,,,,,
Canarias,ES70,2021,2021,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,5.8,,,,,,,,
Canarias,ES70,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.6,,,,,,,,
Canarias,ES70,2023,2023,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.3,,,,,,,,
Las Palmas,ES701,2015,2015,Sueldos y salarios,SUELDOS_SALARIOS,62.8,,,,,,,,
Las Palmas,ES701,2016,2016,Sueldos y salarios,SUELDOS_SALARIOS,63.5,,,,,,,,
Las Palmas,ES701,2017,2017,Sueldos y salarios,SUELDOS_SALARIOS,63.4,,,,,,,,
Las Palmas,ES701,2018,2018,Sueldos y salarios,SUELDOS_SALARIOS,63.5,,,,,,,,
Las Palmas,ES701,2019,2019,Sueldos y salarios,SUELDOS_SALARIOS,63.1,,,,,,,,
Las Palmas,ES701,2020,2020,Sueldos y salarios,SUELDOS_SALARIOS,56.9,,,,,,,,
Las Palmas,ES701,2021,2021,Sueldos y salarios,SUELDOS_SALARIOS,58.8,,,,,,,,
Las Palmas,ES701,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,61.8,,,,,,,,
Las Palmas,ES701,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,61.8,,,,,,,,
Las Palmas,ES701,2015,2015,Otros ingresos,OTROS_INGRESOS,12.5,,,,,,,,
Las Palmas,ES701,2016,2016,Otros ingresos,OTROS_INGRESOS,12.6,,,,,,,,
Las Palmas,ES701,2017,2017,Otros ingresos,OTROS_INGRESOS,13.0,,,,,,,,
Las Palmas,ES701,2018,2018,Otros ingresos,OTROS_INGRESOS,13.3,,,,,,,,
Las Palmas,ES701,2019,2019,Otros ingresos,OTROS_INGRESOS,13.4,,,,,,,,
Las Palmas,ES701,2020,2020,Otros ingresos,OTROS_INGRESOS,11.4,,,,,,,,
Las Palmas,ES701,2021,2021,Otros ingresos,OTROS_INGRESOS,12.9,,,,,,,,
Las Palmas,ES701,2022,2022,Otros ingresos,OTROS_INGRESOS,13.7,,,,,,,,
Las Palmas,ES701,2023,2023,Otros ingresos,OTROS_INGRESOS,14.0,,,,,,,,
Las Palmas,ES701,2015,2015,Otras prestaciones,OTRAS_PRESTACIONES,3.6,,,,,,,,
Las Palmas,ES701,2016,2016,Otras prestaciones,OTRAS_PRESTACIONES,3.7,,,,,,,,
Las Palmas,ES701,2017,2017,Otras prestaciones,OTRAS_PRESTACIONES,3.9,,,,,,,,
Las Palmas,ES701,2018,2018,Otras prestaciones,OTRAS_PRESTACIONES,3.9,,,,,,,,
Las Palmas,ES701,2019,2019,Otras prestaciones,OTRAS_PRESTACIONES,4.1,,,,,,,,
Las Palmas,ES701,2020,2020,Otras prestaciones,OTRAS_PRESTACIONES,4.7,,,,,,,,
Las Palmas,ES701,2021,2021,Otras prestaciones,OTRAS_PRESTACIONES,5.0,,,,,,,,
Las Palmas,ES701,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,4.9,,,,,,,,
Las Palmas,ES701,2023,2023,Otras prestaciones,OTRAS_PRESTACIONES,5.0,,,,,,,,
Las Palmas,ES701,2015,2015,Pensiones,PENSIONES,17.3,,,,,,,,
Las Palmas,ES701,2016,2016,Pensiones,PENSIONES,17.0,,,,,,,,
Las Palmas,ES701,2017,2017,Pensiones,PENSIONES,16.7,,,,,,,,
Las Palmas,ES701,2018,2018,Pensiones,PENSIONES,16.5,,,,,,,,
Las Palmas,ES701,2019,2019,Pensiones,PENSIONES,16.6,,,,,,,,
Las Palmas,ES701,2020,2020,Pensiones,PENSIONES,18.1,,,,,,,,
Las Palmas,ES701,2021,2021,Pensiones,PENSIONES,17.4,,,,,,,,
Las Palmas,ES701,2022,2022,Pensiones,PENSIONES,17.1,,,,,,,,
Las Palmas,ES701,2023,2023,Pensiones,PENSIONES,17.0,,,,,,,,
Las Palmas,ES701,2015,2015,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.8,,,,,,,,
Las Palmas,ES701,2016,2016,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.3,,,,,,,,
Las Palmas,ES701,2017,2017,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.0,,,,,,,,
Las Palmas,ES701,2018,2018,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.9,,,,,,,,
Las Palmas,ES701,2019,2019,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.9,,,,,,,,
Las Palmas,ES701,2020,2020,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,8.9,,,,,,,,
Las Palmas,ES701,2021,2021,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,6.0,,,,,,,,
Las Palmas,ES701,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.5,,,,,,,,
Las Palmas,ES701,2023,2023,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.3,,,,,,,,
Lanzarote,ES708,2015,2015,Sueldos y salarios,SUELDOS_SALARIOS,67.2,,,,,,,,
Lanzarote,ES708,2016,2016,Sueldos y salarios,SUELDOS_SALARIOS,68.0,,,,,,,,
Lanzarote,ES708,2017,2017,Sueldos y salarios,SUELDOS_SALARIOS,68.1,,,,,,,,
Lanzarote,ES708,2018,2018,Sueldos y salarios,SUELDOS_SALARIOS,67.6,,,,,,,,
Lanzarote,ES708,2019,2019,Sueldos y salarios,SUELDOS_SALARIOS,67.4,,,,,,,,
Lanzarote,ES708,2020,2020,Sueldos y salarios,SUELDOS_SALARIOS,57.1,,,,,,,,
Lanzarote,ES708,2021,2021,Sueldos y salarios,SUELDOS_SALARIOS,58.5,,,,,,,,
Lanzarote,ES708,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,65.4,,,,,,,,
Lanzarote,ES708,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,65.5,,,,,,,,
Lanzarote,ES708,2015,2015,Otros ingresos,OTROS_INGRESOS,13.4,,,,,,,,
Lanzarote,ES708,2016,2016,Otros ingresos,OTROS_INGRESOS,13.3,,,,,,,,
Lanzarote,ES708,2017,2017,Otros ingresos,OTROS_INGRESOS,14.0,,,,,,,,
Lanzarote,ES708,2018,2018,Otros ingresos,OTROS_INGRESOS,14.7,,,,,,,,
Lanzarote,ES708,2019,2019,Otros ingresos,OTROS_INGRESOS,14.6,,,,,,,,
Lanzarote,ES708,2020,2020,Otros ingresos,OTROS_INGRESOS,12.0,,,,,,,,
Lanzarote,ES708,2021,2021,Otros ingresos,OTROS_INGRESOS,14.6,,,,,,,,
Lanzarote,ES708,2022,2022,Otros ingresos,OTROS_INGRESOS,15.6,,,,,,,,
Lanzarote,ES708,2023,2023,Otros ingresos,OTROS_INGRESOS,16.2,,,,,,,,
Lanzarote,ES708,2015,2015,Otras prestaciones,OTRAS_PRESTACIONES,2.3,,,,,,,,
Lanzarote,ES708,2016,2016,Otras prestaciones,OTRAS_PRESTACIONES,2.4,,,,,,,,
Lanzarote,ES708,2017,2017,Otras prestaciones,OTRAS_PRESTACIONES,2.5,,,,,,,,
Lanzarote,ES708,2018,2018,Otras prestaciones,OTRAS_PRESTACIONES,2.7,,,,,,,,
Lanzarote,ES708,2019,2019,Otras prestaciones,OTRAS_PRESTACIONES,2.8,,,,,,,,
Lanzarote,ES708,2020,2020,Otras prestaciones,OTRAS_PRESTACIONES,3.4,,,,,,,,
Lanzarote,ES708,2021,2021,Otras prestaciones,OTRAS_PRESTACIONES,3.6,,,,,,,,
Lanzarote,ES708,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,3.5,,,,,,,,
Lanzarote,ES708,2023,2023,Otras prestaciones,OTRAS_PRESTACIONES,3.4,,,,,,,,
Lanzarote,ES708,2015,2015,Pensiones,PENSIONES,13.0,,,,,,,,
Lanzarote,ES708,2016,2016,Pensiones,PENSIONES,12.7,,,,,,,,
Lanzarote,ES708,2017,2017,Pensiones,PENSIONES,12.3,,,,,,,,
Lanzarote,ES708,2018,2018,Pensiones,PENSIONES,11.9,,,,,,,,
Lanzarote,ES708,2019,2019,Pensiones,PENSIONES,12.1,,,,,,,,
Lanzarote,ES708,2020,2020,Pensiones,PENSIONES,13.8,,,,,,,,
Lanzarote,ES708,2021,2021,Pensiones,PENSIONES,13.6,,,,,,,,
Lanzarote,ES708,2022,2022,Pensiones,PENSIONES,13.1,,,,,,,,
Lanzarote,ES708,2023,2023,Pensiones,PENSIONES,12.8,,,,,,,,
Lanzarote,ES708,2015,2015,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,4.1,,,,,,,,
Lanzarote,ES708,2016,2016,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.6,,,,,,,,
Lanzarote,ES708,2017,2017,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.2,,,,,,,,
Lanzarote,ES708,2018,2018,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.1,,,,,,,,
Lanzarote,ES708,2019,2019,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.1,,,,,,,,
Lanzarote,ES708,2020,2020,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,13.7,,,,,,,,
Lanzarote,ES708,2021,2021,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,9.7,,,,,,,,
Lanzarote,ES708,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.4,,,,,,,,
Lanzarote,ES708,2023,2023,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.0,,,,,,,,
Arrecife,35004,2015,2015,Sueldos y salarios,SUELDOS_SALARIOS,66.9,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2016,2016,Sueldos y salarios,SUELDOS_SALARIOS,68.4,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2017,2017,Sueldos y salarios,SUELDOS_SALARIOS,68.9,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2018,2018,Sueldos y salarios,SUELDOS_SALARIOS,69.1,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2019,2019,Sueldos y salarios,SUELDOS_SALARIOS,68.7,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2020,2020,Sueldos y salarios,SUELDOS_SALARIOS,56.9,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2021,2021,Sueldos y salarios,SUELDOS_SALARIOS,59.3,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,67.8,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,68.3,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2015,2015,Otros ingresos,OTROS_INGRESOS,10.4,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2016,2016,Otros ingresos,OTROS_INGRESOS,10.0,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2017,2017,Otros ingresos,OTROS_INGRESOS,10.7,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2018,2018,Otros ingresos,OTROS_INGRESOS,10.9,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2019,2019,Otros ingresos,OTROS_INGRESOS,11.0,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2020,2020,Otros ingresos,OTROS_INGRESOS,9.6,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2021,2021,Otros ingresos,OTROS_INGRESOS,11.0,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2022,2022,Otros ingresos,OTROS_INGRESOS,10.6,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2023,2023,Otros ingresos,OTROS_INGRESOS,11.1,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2015,2015,Otras prestaciones,OTRAS_PRESTACIONES,2.7,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2016,2016,Otras prestaciones,OTRAS_PRESTACIONES,2.8,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2017,2017,Otras prestaciones,OTRAS_PRESTACIONES,2.9,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2018,2018,Otras prestaciones,OTRAS_PRESTACIONES,3.0,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2019,2019,Otras prestaciones,OTRAS_PRESTACIONES,3.2,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2020,2020,Otras prestaciones,OTRAS_PRESTACIONES,3.9,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2021,2021,Otras prestaciones,OTRAS_PRESTACIONES,4.4,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,4.2,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2023,2023,Otras prestaciones,OTRAS_PRESTACIONES,4.1,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2015,2015,Pensiones,PENSIONES,14.9,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2016,2016,Pensiones,PENSIONES,14.4,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2017,2017,Pensiones,PENSIONES,13.7,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2018,2018,Pensiones,PENSIONES,13.2,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2019,2019,Pensiones,PENSIONES,13.2,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2020,2020,Pensiones,PENSIONES,15.0,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2021,2021,Pensiones,PENSIONES,14.9,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2022,2022,Pensiones,PENSIONES,14.4,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2023,2023,Pensiones,PENSIONES,13.9,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2015,2015,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,5.2,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2016,2016,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,4.5,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2017,2017,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.9,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2018,2018,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.8,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2019,2019,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.9,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2020,2020,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,14.5,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2021,2021,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,10.4,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.0,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Arrecife,35004,2023,2023,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.6,,,35.0,353.0,Lanzarote,4.0,3.0,Arrecife
Haría,35010,2015,2015,Sueldos y salarios,SUELDOS_SALARIOS,59.4,,,35.0,353.0,Lanzarote,10.0,8.0,Haría
Haría,35010,2016,2016,Sueldos y salarios,SUELDOS_SALARIOS,59.5,,,35.0,353.0,Lanzarote,10.0,8.0,Haría
Haría,35010,2017,2017,Sueldos y salarios,SUELDOS_SALARIOS,58.8,,,35.0,353.0,Lanzarote,10.0,8.0,Haría
Haría,35010,2018,2018,Sueldos y salarios,SUELDOS_SALARIOS,58.7,,,35.0,353.0,Lanzarote,10.0,8.0,Haría
Haría,35010,2019,2019,Sueldos y salarios,SUELDOS_SALARIOS,59.0,,,35.0,353.0,Lanzarote,10.0,8.0,Haría
Haría,35010,2020,2020,Sueldos y salarios,SUELDOS_SALARIOS,55.2,,,35.0,353.0,Lanzarote,10.0,8.0,Haría
Haría,35010,2021,2021,Sueldos y salarios,SUELDOS_SALARIOS,55.5,,,35.0,353.0,Lanzarote,10.0,8.0,Haría
Haría,35010,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,56.8,,,35.0,353.0,Lanzarote,10.0,8.0,Haría
Haría,35010,2023,2023,Sueldos y salarios,SUELDOS_SALARIOS,57.2,,,35.0,353.0,Lanzarote,10.0,8.0,Haría
Haría,35010,2015,2015,Otros ingresos,OTROS_INGRESOS,13.2,,,35.0,353.0,Lanzarote,10.0,8.0,Haría
Haría,35010,2016,2016,Otros ingresos,OTROS_INGRESOS,13.4,,,35.0,353.0,Lanzarote,10.0,8.0,Haría
Haría,35010,2017,2017,Otros ingresos,OTROS_INGRESOS,14.2,,,35.0,353.0,Lanzarote,10.0,8.0,Haría
Haría,35010,2018,2018,Otros ingresos,OTROS_INGRESOS,15.3,,,35.0,353.0,Lanzarote,10.0,8.0,Haría
Haría,35010,2019,2019,Otros ingresos,OTROS_INGRESOS,15.4,,,35.0,353.0,Lanzarote,10.0,8.0,Haría
Haría,35010,2020,2020,Otros ingresos,OTROS_INGRESOS,12.3,,,35.0,353.0,Lanzarote,10.0,8.0,Haría
Haría,35010,2021,2021,Otros ingresos,OTROS_INGRESOS,13.9,,,35.0,353.0,Lanzarote,10.0,8.0,Haría
Haría,35010,2022,2022,Otros ingresos,OTROS_INGRESOS,16.0,,,35.0,353.0,Lanzarote,10.0,8.0,Haría
Haría,35010,2023,2023,Otros ingresos,OTROS_INGRESOS,16.7,,,35.0,353.0,Lanzarote,10.0,8.0,Haría
Haría,35010,2015,2015,Otras prestaciones,OTRAS_PRESTACIONES,2.8,,,35.0,353.0,Lanzarote,10.0,8.0,Haría
Haría,35010,2016,2016,Otras prestaciones,OTRAS_PRESTACIONES,3.0,,,35.0,353.0,Lanzarote,10.0,8.0,Haría
Haría,35010,2017,2017,Otras prestaciones,OTRAS_PRESTACIONES,3.1,,,35.0,353.0,Lanzarote,10.0,8.0,Haría
Haría,35010,2018,2018,Otras prestaciones,OTRAS_PRESTACIONES,3.1,,,35.0,353.0,Lanzarote,10.0,8.0,Haría
Haría,35010,2019,2019,Otras prestaciones,OTRAS_PRESTACIONES,3.0,,,35.0,353.0,Lanzarote,10.0,8.0,Haría
Haría,35010,2020,2020,Otras prestaciones,OTRAS_PRESTACIONES,3.7,,,35.0,353.0,Lanzarote,10.0,8.0,Haría
Haría,35010,2021,2021,Otras prestaciones,OTRAS_PRESTACIONES,3.9,,,35.0,353.0,Lanzarote,10.0,8.0,Haría
Haría,35010,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,4.2,,,35.0,353.0,Lanzarote,10.0,8.0,Haría
Haría,35010,2023,2023,Otras prestaciones,OTRAS_PRESTACIONES,4.0,,,35.0,353.0,Lanzarote,10.0,8.0,Haría
Haría,35010,2015,2015,Pensiones,PENSIONES,21.9,,,35.0,353.0,Lanzarote,10.0,8.0,Haría
Haría,35010,2016,2016,Pensiones,PENSIONES,21.5,,,35.0,353.0,Lanzarote,10.0,8.0,Haría
Haría,35010,2017,2017,Pensiones,PENSIONES,21.6,,,35.0,353.0,Lanzarote,10.0,8.0,Haría
Haría,35010,2018,2018,Pensiones,PENSIONES,20.7,,,35.0,353.0,Lanzarote,10.0,8.0,Haría
Haría,35010,2019,2019,Pensiones,PENSIONES,20.0,,,35.0,353.0,Lanzarote,10.0,8.0,Haría
Haría,35010,2020,2020,Pensiones,PENSIONES,21.0,,,35.0,353.0,Lanzarote,10.0,8.0,Haría
